ECONOMY,"1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"          Armenia","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.0021891582,0.0041302809,0.0049876012,0.0052335323,0.0053651366,0.0041530311,0.0040020722,0.0040574403,0.0045596017,0.0055366623,0.0077719481,0.0090329579,0.0078373607,0.0092730403,0.0081226804,0.0082185214,0.0065465832,0.0056563564,0.0066097254,0.0072757229,0.0074554464,0.0078095456,0.0080023063,0.008984827,0.011176258,0.0126623155,0.0123848622
"          Aruba","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",0.0013803601,0.001791266,0.0029385301,0.0034543506,0.0044476383,0.0249880022,0.0292471006,0.0319641171,0.0314090426,0.0260267675,0.032031584,0.030801704,0.0211411779,0.0242789573,0.039110286,0.0391138233,0.0228903073,0.0270335771,0.0372368085,0.0420490911,0.038886242,0.0371324606,0.0337868652,0.0155449288,0.0017294099,0.0282463161,0.0075029491,0.0014725682,0.0013638578,0.0019941557,0.0017716477,0.0007589384,0.001052567
"          Australia",2.8139576805,2.717052479,2.6980379042,2.4611522999,2.1691150346,2.4989537608,1.9700662689,1.9031379742,1.8295967044,1.9682553129,1.5230643659,1.7027274412,1.5738976977,1.734735392,1.6438319011,1.7887710749,1.7429401743,1.5834855745,1.5309884924,1.5898728244,1.451749131,1.5225111806,1.4991282905,1.4694049852,1.538954288,1.642806165,1.3075222242,1.3623290684,1.3279072171,1.181993158,1.1000808797,1.1215810746,1.0703862173,1.0593589353,1.1256542423,1.082795755,1.1744906201,1.1501098639,1.0541517824,1.0564064604,1.1561080403,1.1968512079,1.1371879574,1.1901142027,1.1308652484,1.1297032235,1.1000102415,1.0260601806,1.1144347801,1.1234846566,1.0144554317,0.979927747,0.9898830243,1.0231848731,1.0005406265,0.9272352359,0.9384939397,1.0102097901,1.0178079214,1.0082068328,1.159564351,1.2291628562,1.3895709815,1.4817162661,1.3864850837,1.3350001021,1.2639716096,1.1356575839,1.2006880273,1.3030753483,1.3189412018
"          Austria",0.3378045814,0.4880673023,0.5267117854,0.5447987264,0.63410314,0.6693514615,0.7163956393,0.7440531503,0.8153705752,0.8638454854,0.8400012835,0.8210461398,0.860229818,0.8828718114,0.8815187582,0.8456989772,0.8255891189,0.8430362757,0.8128635692,0.8268362627,0.8187649202,0.8703083979,0.8978764859,0.8931106928,0.924956015,0.9078974088,0.8499802467,0.8573435417,0.8561772191,0.8672659925,0.9291030287,0.9303040081,0.8530682024,0.7813481812,0.8243017646,0.8305879127,0.7998537606,0.8771345676,1.0519518379,1.0782040326,1.0804400807,1.0474789365,1.1767282417,1.168998246,1.1760981683,1.075803322,1.0415407428,1.1154732925,1.0744651596,1.0677647837,1.1619476745,1.1554243922,1.0468063808,1.1420551235,1.2103933188,1.2799254564,1.2833752009,1.1919283974,1.1275884002,1.1669859622,1.1226101891,1.0910390543,0.9969815055,0.9674840866,0.899985415,0.9242627766,0.9387192841,0.9238579707,0.9486942894,0.9475463503,0.9484491606
"          Azerbaijan","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.0414936581,0.026262452,0.0151595304,0.0122676006,0.0116432519,0.0139297539,0.0109807424,0.0162332559,0.0270445445,0.037352293,0.033345713,0.0341465571,0.0391965607,0.0728299958,0.1073126632,0.151698634,0.1894022321,0.1680261194,0.1730216243,0.1880951317,0.1762797581,0.1677115402,0.1488464689,0.1003674305,0.0817608226,0.0872710654,0.1103911687
"          Bahamas",0.0034120986,0.0034132968,0.0048535173,0.0036229824,0.0037630373,0.0049568647,0.0047003424,0.0035136624,0.0031689975,0.0033546095,0.0043929005,0.0050905436,0.0046069344,0.0058741617,0.0062791206,0.0063780127,0.0091339491,0.0098108347,0.010882729,0.0143351625,0.0209803545,0.0190915017,0.028240196,0.0752673633,0.0816968499,0.0910846489,0.1713942657,0.2859563878,0.3011451565,0.2883535586,0.2333632084,0.2275204919,0.2443475313,0.305283065,0.2389597668,0.2137435623,0.1724112165,0.1388271893,0.1261862048,0.108004133,0.0748911375,0.0801885441,0.0068089846,0.0064001879,0.005079428,0.0042918431,0.003865796,0.0033986083,0.003327013,0.0032393821,0.0054504412,0.0080781854,0.0089254746,0.0068280121,0.0068617643,0.0055994853,0.0051714221,0.0052273325,0.0057240531,0.0057193719,0.005918676,0.0056603386,0.0045902051,0.0045449412,0.0053152871,0.0050390804,0.0043922354,0.0031485236,0.003002835,0.0032172027,0.003234718
"          Bahrain",0.2269045541,0.2303975306,0.2216439562,0.2004716906,0.2245278909,0.2391687209,0.2361922065,0.2054960132,0.1824574323,0.1756756014,0.1921893973,0.1522072533,0.1458862547,0.145385501,0.1475593331,0.1311957221,0.1003592661,0.0867273569,0.0904415613,0.096378369,0.0868897922,0.0815176817,0.0684482228,0.075700362,0.0827617672,0.0825802643,0.1509456479,0.1262700404,0.1526077237,0.1631722137,0.144449384,0.1497308391,0.1759089166,0.2144327434,0.1996979915,0.1679345256,0.1628232164,0.147394652,0.1027327405,0.0964093167,0.0838898185,0.0912700878,0.1075797819,0.0998324673,0.091484102,0.0984410941,0.0838303515,0.0794548341,0.0868673454,0.0782836097,0.0593542704,0.0762346201,0.0960028637,0.090023223,0.0891413958,0.0873736963,0.0819401098,0.0975197822,0.1005955751,0.0972414477,0.107227237,0.094567158,0.0978375745,0.1071495544,0.1067815525,0.1157262887,0.1060267403,0.10005364,0.0797465058,0.0867097542,0.1020487426
"          Bangladesh","..","..","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0.0611552131,0.0606341915,0.0407277404,0.0367985281,0.0402119369,0.0420625695,0.0418546606,0.0395836378,0.0369981079,0.0389980087,0.0405490172,0.0390035487,0.0473344423,0.0508194836,0.0410994018,0.0423447503,0.0449109569,0.0420666024,0.0478116471,0.0480224514,0.0553981135,0.0602338803,0.0615810212,0.0676360152,0.0785272656,0.0862930396,0.0929460856,0.0960540452,0.0990186791,0.0981425849,0.094603114,0.0920950637,0.0900391205,0.0885218767,0.0973158295,0.0888196565,0.0951743903,0.1201264499,0.1254359799,0.1332630198,0.1357292598,0.1536341681,0.1601472023,0.1958595795,0.2176608144,0.2021726861,0.2015384354
"          Barbados",0.0209502851,0.0295710964,0.0260876554,0.0249828787,0.0292312736,0.0297362312,0.0277202694,0.0241282132,0.0202806238,0.0252328428,0.021396171,0.0231288848,0.0183240814,0.0185263716,0.0204622585,0.0259381022,0.0200792746,0.0197539206,0.019703823,0.0189684917,0.0165158536,0.0133943551,0.0124383594,0.0114316184,0.010596534,0.0091952531,0.0102117273,0.0122360373,0.0086813747,0.0085331785,0.0099651737,0.0091324899,0.0111062271,0.0096440329,0.013636143,0.0173891945,0.0200066857,0.0181506769,0.0130009251,0.0063981212,0.0061608977,0.0060558086,0.0061527451,0.0058966579,0.0050210152,0.004944914,0.0042011109,0.0046149554,0.0051862555,0.0050530004,0.0045656656,0.0046096156,0.0042209637,0.004180745,0.0037155069,0.0032905211,0.0030166629,0.0034225222,0.0042030233,0.0037360501,0.0030206116,0.0030147217,0.0028034168,0.0025908619,0.0030521956,0.002441983,0.0024987495,0.0029212068,0.0032238684,0.0027372559,0.0022848405
"          Belarus","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.0939753587,0.0520938952,0.0580922462,0.0927932899,0.1044473621,0.13038964,0.128314966,0.1032515458,0.1135467915,0.1202730921,0.1234025235,0.1310358606,0.1493283365,0.1521448927,0.1627174655,0.1731381337,0.2016907422,0.1696763546,0.1652284311,0.2258494975,0.2488024323,0.1964776971,0.1902819192,0.1612697363,0.1468189212,0.1648922144,0.1731138904
