ECONOMY,"1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"          Kuwait","..","..",195,320,437,507.08,563.92,651,675.08,735,929.88,829.92,961.8,962.08,1077.44,1136.24,1251.04,1283.52,1342.32,1355,1439,1540,1693.16,2507,2989,3815.42,10963.3,9184.4,9845.959999999999,9753.860000000001,10427.4,18404.1,19663,16044,10864,11504,11623,10597,7383,8264,7661,11476,7042,1088,6571,10248,11260,12785,14889,14224,9554,12164,19436,16203,15369,20678,28599,44868.5,56016.1,62691.156,87457.022,54008.099,69977.95200000001,102102.655,118911.83,115103.518,102110.651046,54122.218515,46272.954177,54924.334132,71565.522029
"          Kyrgyzstan","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",317,339.7,340,408.938,505.397,603.807,513.6,462.6,510.9,476,485.5,581.7000000000001,718.8,672,891.1,1321.1,1855.6,1673,1755.9,1978.9,1893.8,2058.2,1896.5,1441.4,1573.2,1764.3,1764.6
"          Lao People's Dem. Rep.","..","..",1,1,1,1,1,1.374,1.268,1.116,1.407,0.85,0.9,0.6,0.775,0.725,0.917,1,1.492,4.433,6.033,4.3,7.2,6.192,4.242,5.403,9.547000000000001,11.5,11.7,4.2,3.2,19,28,23,40,41,44,54,55.1,64.09999999999999,58,63.3,78.7,96.59999999999999,132.6,241,300.5,311,322.8,359,369.5,310.8,330.31,319.51,300.61,335.47,363.34,553.08,882.03,922.6900000000001,1091.9,1052.68,1746.37,2189.55,2270.67,2263.94,2662.02,3653.305,4244.775,4822.563,5260
"          Latvia","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",777.586,997.6130000000001,991.492,1304.98,1443.29,1671.63,1811.12,1723.085,1868.468,2000.709,2285.127,2892.518,4009.171,5161.291,6154.809,8308.344999999999,10144.226,7701.989,9532.456330000001,13130.342454,14111.601,14477.05146,14529.46131,12129.95901,12147.16115,14012.72122,15642.84655
"          Lebanon","..","..",15,24,21,25,29,33,40,42,32,40,43,41,59,57,64.776,86.87000000000001,103.035,118.448,147.48,165.207,189.979,244.524,377.337,921,1636,1233,546,760,830,850,955,920,800,760,378.124,287.994,550,650,780,485.3,494,539.1,559.7000000000001,451.862,470.399,655.769,736.394,643.06,661.694,676.848,714.58,1093,1238,1813,2199,2337,2814,3574,4454,4187,5021,5664,5615,5169.686,4548.378,3981.54,3930.114,4025.739,3829.848
"          Lesotho","..","..",2,2,2,2,2,3,3,3,4,4,4,4,5,5,6,6.58,6.142,5.835,4.732,6.847,5.932,4.214,7.932,12.665,14.437,12.282,16.842,14.03,31.846,45.083,57.99,50.27,35.9,29.7,27.28,22.34,25.48,46.54,64.19,66.33,61.6741,67.1828,109.27,132.272,143.435,160.147,186.91,195.218,193.635,172.395,220.695,280,357.951,475.563,708,650.573,693.6369999999999,769.4109999999999,884.0460000000001,734.146,877.657,1172.166,972.355,847.06,826.382257,844.098539,883.795207,1027.553704,1229.760363
"          Liberia",16,16,28,52.13,37.16,31,26.38,42.84,44.54,40.37,53.7,66.90000000000001,82.59999999999999,61.8,67.5,81.11,125.6,135.4,150.46,158.77,169.03,195.93,213.73,222.13,244.4,324,400.27,393.83,459.96,447.42,504.05,536.56,600.4,529.16,477.44,427.6,452.12,435.6,408.37,382.2,396.33,460.11,868,311,590,440,353,820,630,430,425,469,329,127.9,176.1,108.9,103.8,131.3,157.8,200.2,242.4,148.83,222,367,459.5,559.2000000000001,444.4,283.3,279.4,358.2,490.3
"          Libya",9.269,7.817,10.64,13.16,12.88,9.800000000000001,10.36,12.04,10.64,13.44,12.04,10.36,8.960000000000001,15.96,137.2,373.8,700.28,789.6,994.84,1168.44,1870.68,2163.84,2357.04,2694.16,2937.56,4003.14,8259.389999999999,6833.96,9554.1,11410.9,9894.58,16075.9,21910,15571,13203,12216,11148,12314,8215,8043,6673,8034,13225,11234,9942,7542,7865,8975,9903,9656,6032,7961,12725.4,11014,9803,14647,20410,31358,40260.435,46970,62100,36950.851,48672.629,19060,61026,46018,20826,11392,9446,18379,21253.05398
"          Lithuania","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",2029.21,2024.84,2028.58,2705,3355,3860,3710,3003.828561,3809.197056,4583,5475,7162,9301.566999999999,11806.574,14141.622,17144.102,23646.182,16454.181,20748.175754,28049.979152,29611.3,32609.6891,32318.22924,25393.11519,25009.6747,29901.0498,33407.0345
"          Luxembourg","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",855,740.22,1000.4,1490.15,2129.52,1787.47,1829.68,1912.86,2296.07,2926.4,3005.44,2385.26,2236.52,2180.09,2519.04,2830.54,3721.02,4374.53,5068.52,5400.67,6304.88,6271.13,6468.65,5892.01,6560.23,7750.28,7210.49,6999.25,7922.16,8210.682719099999,8357.195019299999,9758.832,10214.267,13297.05,16249.66,18797.182,22903.08,22390.355,25694.168,21338.745,19748.439482,20866.273299,18833.369,18463.18312,19106.35208,17144.59797,15814.61981,15745.78018,16207.65283
"          Madagascar",49,54,69.441,76.19199999999999,93.59699999999999,84.792,91.58499999999999,81.538,93.199,89.78,96.479,75.547,74.883,77.52800000000001,94.331,82.07299999999999,91.755,91.714,97.102,104.232,115.887,111.42,144.835,147.314,166.248,202.714,244.141,301.119,275.044,337.262,387.738,394.41,401.491,317.239,311.279,297.21,332.148,274.201,313.338,331.051,278.012,321.313,319,335,327,335,450,507,509,516,538,584,824,928,486,856,991.6130000000001,854.641,985.256,1237.684,1309.745,1051.987,1149.469934,1590,1515.911,1922.607,2196.096,2048.34,2253.716422,2848.417527,3051.522435
"          Malawi",16.966,17.607,14.14,16.52,17.64,20.384,20,20,22,24,20,22,25,26,29,30,34.762,40.349,48.734,56.784,48.053,52.766,59.636,71.37000000000001,79.831,97.67700000000001,120.483,140.408,165.824,199.87,185.209,232.746,295.321,282.997,238.537,228.682,314.453,245.576,245.745,276.653,288.064,266.965,416.911,469.238,396.227,320.041,342.152,405.284,480.661,536.81,431.176,452.711,379.274,449,407.127,525.2619999999999,483.213,508.793,668.417,868.559,878.999,1187.917,1066.204,1425.289,1182.95,1207.984,1369.527368,1080.101,1022.154,883.851985,1012.722194
"          Malaysia",621.092,593.521,1003.52,1308.3,860.768,679.141,693.841,963.015,935.5750000000001,913.361,807.521,1039.45,1186.78,1057.75,1064.93,1087.8,1104.79,1235.78,1256.36,1216.51,1346.85,1651.3,1686.58,1643.92,1721.55,3049.23,4235.86,3842.96,5294.73,6079.39,7404.05,11078.6,12944.7,11769.8,12030.4,14104.2,16482.9,15315.8,13689.6,17957.6,21081.9,25047.3,29452.414751,34350.263639,40771.268495,47130.682521,58844.807442,73914.934593,78326.98295400001,78735.76626,73255.653274,84620.930547,98229.030394,87969.42490500001,94060.530783,104706.41874,126645.52432,141625.52359,160748.75011,175965.64996,199414.35101,157244.06137,198612.022,228086.074,227537.719,228330.79343,233927.366379,199158.105799,189659.31151,217722.413525,247365.230739
"          Maldives",2,2,2,2,3,3,3,1.328,2.017,2.003,2.139,2.444,2.074,2.278,2.083,1.805,2.139,2.487,2.22,2.559,2.363,2.838,3.865,4.312,3.451,3.5,3.965,2.538,2.973,3.39,4.093,4.585,7.778,8.648999999999999,9.798,13.379,17.625,23.022,25,31,54.3,63.7,78,76.2,65.09999999999999,52.72,75.4008,85,79.90000000000001,93,95.59999999999999,91.5,108.7,110,132,152,181,161.6,225.2,228,331.4,169,197.5,346.4,314.4,330.965131,300.9,239.709435,256.2,318.34,350
"          Mali","..","..",8,9,9,12,13,10,13,16,15,13,13,7.074,5.061,5.326,8.428000000000001,8.631,9.077,8.272,10.713,16.626,34.924,40.054,41.828,52.985,64.236,53.216,84.465,124.564,111.947,148.141,205.294,154.644,145.767,165.063,132.668,123.669,211.778,178.98,214.505,246.953,358.768,312.151,342.738,477.817,334.922,441,433,561,556,571,545,725,874,928,976.433,1100.92,1550,1556.252,2097.118,1773.665,1996.261,2374.497,2610.387,2338.872,2775.884,2716.713163,2826.100154,2907.087861,2943.183172
"          Malta",5.066,3.864,4.651,5.844,9.464,8,8.061,7.476,10.744,9.372,10.066,11.323,10.71,13.014,12.082,14.745,19.37,24.228,30.111,27.274,33.948,38.297,38.556,46.31,67.566,97.815,134.01,165.878,228.431,288.605,342.479,424.396,482.727,449.037,410.98,362.654,394.481,399.513,496.808,604.967,713.534,844.1230000000001,1130.31,1251.76,1542.88,1355.21,1570.46,1914.26,1731.28,1629.8,1833.72,1977.785,2452.981,1821.753,2027.643,2252.344,2516.966,2398.877,2795.535,3077.548,3481.382,2857.455,3585.933585,4385.548861,4250.247,3632.86348,2928.9953,2606.91749,3145.838,2516.32128,3011.99508
"          Marshall Islands","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..",2.116,2.261,2.793,10.85,9.201000000000001,7.66,21.897,23.071,18.923,15.777,5.774,7.662,9.124000000000001,12.765,14.262,15.205,19.781,25.359,17.9,18.3,20.2,20.8,32.3,50.1,106.789,65,55,47.21,53,59,61
"          Mauritania","..","..",1,1,1,2,2,2,2,2,2,2,2,2.16731,2.77497,16.2042,45.7971,57.6059,69.2325,72.0277,71.7644,75.5613,88.8698,90.6713,118.924,155.19,180.248,175.543,178.005,157.134,123.285,146.722,194.177,260.709,233.406,291.127,292.219,374.322,349.424,427.839,354.168,437.466,447,439,425,423,410,488.267,490.932,429.194,386.75,357.832,354.571,355.25,331.67,318.328,439.61,625.1,1366.568,1454,1787.6,1364.1,2073.5,2749,2640.96,2652,1935.4,1388.558753,1400.67961,1722.378693,1931.467394
"          Mauritius",43.689,45.726,32.109,49.77,52.857,57.687,56.07,52.878,62.601,69.363,60.669,60.816,38.85,61.782,64.239,89.83799999999999,77.04900000000001,65.81399999999999,70.896,63.151,63.72,65.736,69.012,66.262,106.006,136.536,312.466,297.981,265.085,309.497,324.518,381.303,434.807,331.835,366.402,366.335,372.42,440.022,675.812,880.014,997.104,985.74,1193.77,1193.97,1302.44,1298.85,1346.76,1538.08,1801.89,1592.17,1645.24,1588.22,1557,1627.84,1801.45,1898.1,1993.11,2143.293,2328.839,2237.897,2383.942,1938.533,2261.495,2565,2649.115,2868.762972,3093.874694,2661.825,2376.237624,2341.653998,2372.664667
"          Mexico",555.304,428.439,532.023,644.277,664.855,591.329,659,784.56,833.92,734.8,735.92,752.72,763.76,826,929.92,984.72,1053.68,1145.36,1198.72,1144.88,1253.84,1429.6,1402,1504.16,1694.24,2250.17,2957.69,2903.84,3417.49,4167.44,6005.07,8982.02,18031,23307.4,24055.2,25953.2,29100.5,26757.3,21803.7,27599.5,30691.4,35171.1,40710.8,42687.7,46195.5,51886,60882.2,79541.60000000001,95999.7,110431,117460,136391,166368,158547,160682,165396,187980.442,214207,249960.546,271821.215,291264.809,229712.337,298305.075,349569.049,370769.89,380015.051,396911.688,380549.593,373946.694,409401.075,450572.162
"          Micronesia (Federated States of)","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..",2.744,2.286,3.715,10.436,23.812,29.513,11.445,20.565,18.137,16.845,23.501,18.03,21.603,26.496,26.867,28.258,17.495,18.5,17.6,21.5,27.3,24.9,30.054219,72.819,52.142,34.859,32.141,39.575,48.725,45.981,75
"          Mongolia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",403,469,560,610,674,689.1,716.1,717.9,739.1,721.5,660.7000000000001,348,393.5,360.9,353.2,473.3,423,568.5,462,454.2,535.8,521,524,615.9,869.7000000000001,1065,1542.8,1889,2539.3,1902.6,2899.2,4817.5,4384.7,4272.7,5774.6,4669.3,4916.3,6200.6,7011.8
"          Montenegro","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",616.616,387.54,436.575,627.532,468.788,498.355874,437.55424,351.782618,360.538145,421.244008,472.254778
"          Montserrat","..","..",0.76,1.08,1.48,0.59,0.91,0.75,0.75,0.75,0.65,0.6,0.47,0.64,1.02,0.57,0.55,0.47,0.5,0.46,0.48,0.7,0.9,0.6,0.71,1.34,2.15,2.27,2.99,4.11,7.11,1,1,1,1,1,1,3,2,4,2,2,2,2,2,3,3,3,3,3,4,1.2546,1.118023,0.722,1.411,1.774,4.239,1.442,1.311,2.701,4.06,3.148,1.099,2.433,1.791,5.961,3.375964,2.979,3.983,5.909,5.7
"          Morocco",143.501,192.976,189.769,251.714,273.714,269.429,286.857,327.714,339.714,328.703,345.672,296.735,353.721,342.062,348.583,384.153,432.172,430.195,428.417,424.07,450.352,485.131,488.293,502.018,643.057,910.1180000000001,1707.74,1543.14,1261.12,1302.1,1507.8,1958.83,2441.25,2385.84,2062.16,2006.02,2171.12,2165.03,2432.88,2807.1,3625.54,3336.54,4265.07,4284.41,3972.99,3695.94496,5555.59,6881.29,6881.1,7032.44,7152.67,7502.91456,7431.840768,7144,7849,8778.33,9925.048000000001,11189.787,12743.794,15340.105,20344.848,14054.337,17770.675,21653.908,21445.7,21971.56,23919.540836,22334.305251,22838.525339,25332.178364,29074.424271
"          Mozambique",40,37,37,44,46,56,55,53,55,65,71,66,75,89,91,101,106,108,112,122,154,142,156,163,177,226,298,198,150,149,163,254,281,281,229,132,96,77,79,97,103,105,126,162,139,132,157,168,217,222,230,263,364,703,810,1045,1503.846,1782.995,2381.137,2412.079,2653.26,2147.169,3000,3604.118,3855.538,4024,4420.53,3413.271,3328.236,4725.302,5195.579128
"          Myanmar",228.24,153.571,138.768,197.61,262.5,237.09,249.9,225.96,248.85,229.425,194.25,223.608,223.755,221.34,264.831,270.396,233.142,225.162,194.418,123.795,111.426,131.691,107.73,124.789,120.391,130.938,188.547,173.413,208.06,215.119,244.73,386.983,476.549,465.604,395.16,381.877,303.606,305.971,290.604,220.991,167.143,212.328,324.908,419.248,531.417,586.029,798.452,851.207,746.341,866.27,1065.22,1124.59,1620.17,2358.02,3014.72,2458.39,2355.48,3776.45,4539.12,6252.69,6882.19,6661.54,8661.08,9238.040000000001,8876.91,11232.8,11452.7,11428.8,11831.3,13878.8,16795
"          Namibia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1459,1088,934,846,766,727,977,993,1055,1122.25,1085.68,1213.55,1341.51,1240,1308.44,1409.4,1417.66,1338.34,1232.21,1233.98,1320.49,1179,1071.6,1262,1827,2070,2646.66,2921.62,3140.525,3146.314,4025.518,4406.705,4388.809,4628.917,4612.06,4067.071,4084.061981,4442.71837,4874.736709
"          Nauru",2,4,4,3,4,4,4,5,5.755,5.011,5.425,5.582,6.319,6.597,7.598,8.92,9.916,8,9.699,10,15,24,32.278,32,34,36,48,46,37,35,54,77,65,77,109,94,66,63,55,58.8,73.2,80.09999999999999,60.2,33,35,41,40,28.256,30,25.296,20.364,36.166,29,14,9,15,13,3,4,15,110,25,50,70,95,49,22.4,10.713,18,23,13
"          Nepal","..","..",1,1,1,1,1,1,1,1,2,2,17,5,6,38,43.378,57.028,51.199,50.155,48.514,54.331,42.44,47.694,57.975,62.843,66.108,100.328,98.31999999999999,80.57599999999999,90.848,108.792,80.34999999999999,140.737,87.709,93.349,127.498,159.923,141.617,150.737,191.476,159.355,204,257,368.7,384,362,345,385,406,474,602,804,737,568,662,771.7960000000001,863.244,837.858,868.4,938.764,822.596,855.758,919.223,911.006,878.732,888.956,720.669,695.949,742.234,840
"          Netherlands",1184.76,1483.86,1603.95,2237.89,2438.42,2485.79,2753.95,3058.42,3268.42,3578.16,3699.21,4135,4602.37,4957.24,5259.67,5706.08,6693.92,7343.37,7770.99,8361.049999999999,9535.360000000001,11382.9,13355,15773.2,19153.7,27351.9,37423.1,39887.9,46153.3,50109.8,57590,73537.39999999999,84947.5,78596.60000000001,75717.39999999999,73691.8,75054.89999999999,77872.5,80254.89999999999,93107.7,103188,107854,131775,133631,140335,124592.044,153162.996,203187.173,208712.8,207846.507,213763.2,218784.55969,232554.07819,230854.845,244058.452,296012.288,357417.103,406372.449,463629.452,550754.892,637917.915,497890.975,574251.1486,667101.27076,655373.782,671581.53044,672410.4982800001,570441.6580600001,570606.43109,652065.37611,722668.37758
"          Netherlands Antilles",406.925,431.527,552.692,702.438,730.542,715.164,772.539,802.658,840.624,870.6369999999999,807.324,711.612,657.896,709.176,687.754,658.5890000000001,629.7430000000001,602.752,591.723,607.684,599.146,624.652,675.982,725.225,757.889,1369.44,3230.28,2397.22,2524.44,2646.61,2976.06,3966.11,5162.22,5416.67,4890.56,4409.44,3732.78,1031.11,924.444,1307.78,1133.89,1454.28,1789.94,1598.88,1558.66,1283.24,1376,1522,1269,1488,1169,1451,2009,2398,1609,1161,521.307,608.0220000000001,694.687,676.425,1088.436,810.056,806.532,"_","_","_","_","_","_","_","_"
"          New Caledonia",7,8,10.8,13.863,22.185,28.109,31.756,39.091,41.005,64.399,40.904,29.6,51.278,55.991,34.401,46.198,62.341,65.148,77.64700000000001,75.17400000000001,113.229,133.654,191.731,200.553,190.071,194.857,278.755,327.107,306.27,315.047,222.319,367.956,418,343,266,154,207,271,191,225,464,675,449,444,409,359,366,565,534.581,543,377.807,464.867,605.716,443,492,785,1033.457,1093.088,1351.803,2104.137,1299.656,993.253,1492.564,1662.534,1326.129,1222.731,1595.473,1218.629,1329.664,1560.998,1935.693
"          New Zealand",518.009,534.787,514.4980000000001,694.818,673.538,660.378,684.458,726.038,776.9980000000001,772.938,699.872,821.657,846.857,793.0890000000001,798.394,909.768,1074.26,1006.54,1076.34,993.079,1009.79,1210.61,1222.59,1361.28,1792.2,2596.03,2435.03,2162.05,2794.63,3195.97,3738.44,4705.62,5420.9,5622.22,5571.27,5413.71,5518.03,5720.11,5879.75,7195.26,8849.92,8875.700000000001,9393.84,9618.870000000001,9784.620000000001,10541.6,12184.4,13644.8,14361.7,14222.9,12083.7,12473.943873,13297.426423,13730,14383,16527,20344,21730.098,22409.18,26943.386,30580.121,24932.601,31396.365,37668.591,37304.869,39444.798785,41622.108081,34354.133624,33740.174822,38063.106171,39713.222176
"          Nicaragua",93.75,23.66,34.64,46.18,51.33,54.51,62.78,80.02,65.08,71.20999999999999,71.09,72.19,62.87,68.36,90.17,106.77,125.18,148.94,142.21,151.68,162.3,158.75,178.62,187.24,249.44,277.89,380.92,375.17,541.9,636.8,645.97,566.56,450.63,508.23,405.55,428.8,385.66,301.5,247.17,272.8,232.7,310.7,330.6,272.4,223.1,269.681,334.645,465.976,466.355,576.704,573.169,546.091,880.6,895.3,914.4,1056,1369,1654.13,1932.1,2186.2,2531.3,2390.6,3250.9,4132.5,4686.1,4793.6,5125.68,4839.35,4781.83,5169.61,5013.91
"          Niger",6,4.235,3.031,7.184,9.224,9.949999999999999,11.412,11.698,19.589,14.384,18.16,11.627,12.676,15.597,19.59,19.998,19.181,25.503,34.917,34.965,28.8,24.16,31.816,38.773,54.357,61.512,52.74,90.801,134.264,160.582,282.315,447.726,565.71,454.82,332.081,298.888,258.676,259.398,316.613,312.318,288.54,243.599,282.589,307.068,333.218,286.761,225.322,288.091,325.089,271.558,333.926,286.828,283.015,272,279,352,437,489,507.946,663.2859999999999,910,1000,1150,1250,1450,1584.892,1444.502,1087.49683,1031.520654,1205.646059,1426.581199
"          Nigeria",251.673,301.708,252.56,336.14,362.74,347.9,418.74,370.86,376.74,357.14,379.4,457.8,462,485.66,467.88,520.1,600.88,748.58,795.62,676.9,591.08,891.1,1239.84,1814.61,2179.98,3461.95,9204.530000000001,7834.31,10566.3,11838.7,9937.690000000001,17334.1,25968,17845,12185,10357,11856,12548,5155,7365,6875,7871,13596.3,12264.4,11886.1,9908.4,9415.1,12342,16153.6,15207.3,9854.9,13855.6,20975,18045,17975,24031,38631,50467,58726,66605.95,86273.5,56741.9,84000,116000,114700,90555.068096,103099.977001,50216.225355,33302.278057,44468.172076,60664.640445
"          Niue","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",0,1,0,0,0,0,0,0,0,0,0.048,0.046,0.1,0.294,0.212,0.336,0.22,0.12,0.06,0.15,0.29,0.147,0.046,0.106,0.175,0.199,1.154,2.824,0.019,0.02,0.02,0.02,0.02,0.1,0.1,0.15,1.391,2,2
"          North Macedonia","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1199,1055.3,1086.34,1204.05,1147.44,1236.81,1310.68,1191.27,1322.62,1158,1115.53,1366.99,1675.88,2041,2401,3398.268,3990.642,2708.488,3351.429,4478.313,4015.403,4298.771673,4964.13218,4530.076667,4854.746046,5683.890426,6907.997571
"          Northern Mariana Islands","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..",430,432.475,563.152,814.706,1084.774,1062.489,1017,958.542,825.011,838,826,691,509,329,115,9,5,2,4,4,2,2,6,7,5
"          Norway",415.291,387.814,390.46,619.78,565.46,508.48,583.38,633.92,772.38,821.38,744.1,810.46,880.74,931.28,971.88,1072.96,1290.66,1443.26,1563.52,1737.54,1937.74,2203.74,2456.86,2554.78,3283.07,4725.29,6281.94,7231.5,7950.69,8879.950000000001,10882.1,13546.1,18542.6,18217.3,17593.4,17998.2,18886.4,19985.2,18092,21489.9,22436,27108.2,34047.2,34107.1,35144.6,31978.1,34785.2,41991.9,49645.1,48541.5,40399.1,45455,60057.7,59191,59662,68321,82527,103759.235,122208.315,136354.292,171764.345,116778.108,130656.792,160409.821,160953.042,156021.60669,144676.79685,103808.767484,89504.587183,104097.74724,122972.454728
"          Oman","..","..",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.8,2.24,1.68,26.205,104.573,141.009,142.721,153.572,167.321,238.555,822.774,1044.03,1133.64,1138.83,1096.43,1569.95,3748,4696,4421,4248,4422,4972,2842,3776,3268,3933,5508,4871,5428,5299,5545,6068.14,7345.9,7630.17,5508.45,7237.97,11318.6,11074,11171.7,11668.7,13341.5,18691.8,21585.2,24692,37719,27651.495,36601.3,47091.808,52138.101,55497.131,50718.324,31926.516,24454.713,32904.047205,46637.447222
"          Pakistan",493.876,447.028,488.738,763.181,532.564,439.169,359.073,384.507,340.2,336.84,297.174,369,400.16,424.067,406.571,406.608,469.324,550.458,634.119,679.89,292.062,331.614,448.526,491.675,1169.42,1059.89,1192.89,1052.52,1185.93,1212.54,1634.08,2461.8,2618.43,2882.64,2396.67,3076.51,2558.21,2739.77,3383.58,4171.81,4522.13,4709.21,5588.73,6528.07,7316.78,6688.09,7365.39,7991.57,9320.950000000001,8716.959999999999,8493.709999999999,8423.52,9028.030000000001,9238,9913,11930,13379,16051,16930.1,17837.5,20323.1,17523.1,21409.5,25382.6,24567.32,25120.811,24731.26,22089.1,20375,21569,23485
"          Palau","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","..","..","..","..","..","..","..","..","..","..","..","..",11,14,13,14,11.094,7.296,11.508,16.567,20.345,8.411,5.882,13.414,13.594,11,10,6,6,6,8.999000000000001,7,11.400373,6.385,6.54,6.42,7.7
"          Panama","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",328.13,375.004,320.491,276.031,336.203,348.571,357.699,306.877,317.879,340.089,358.448,501.524,553.191,583.285,625.155,623,722.775,784.111,822.114,859.499,911,846,864.24,943.689,7050,8033.926,8820.594999999999,9816.620000000001,10716.687,10986.603,14554.816,16215,14667,12959.957,11347.872,11194.931,11092.781,11480.406
"          Panama, excluding Canal Zone",14.09,14.687,12.965,14.617,15.132,17.383,18.514,21.655,19.413,23.952,23.086,25.274,21.236,23.506,39.538,39.29,53.411,62.113,71.41800000000001,79.43300000000001,91.639,108.369,108.513,116.54,122.634,137.774,210.511,286.446,238.212,251.034,256.433,302.893,360.534,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"          Papua New Guinea",11.107,14.25,15.467,21.112,24.942,26.678,27.91,29.277,29.49,28.538,32.514,40.466,38.382,37.038,38.629,43.299,50.019,59.091,57.142,65.464,83.541,99.50100000000001,103.958,120.422,221.556,514.794,653.8440000000001,440.605,551.079,683.332,714.252,882.837,1031.29,837.733,770.67,812.527,891.526,912.201,1033.24,1161.03,1398.54,1404.3,1144.12,1337.91,1810.2,2584.62,2632.05,2653.47,2514.09,2149.5,1762.73,1916.07,2069.89,1805,1641,2206.77,2551.87,3273.48,4165.84,4681.16,5713.205,4394.22,5741.652,6908.342402,6327.642,5951.001,8794.235144,8452.942999999999,8194.035,9951.722,9540
"          Paraguay",28.16,33.01,34.64,34.78,32.08,25.53,30.45,29.95,35.79,34.04,40.53,34.01,28.01,30.12,32.85,39.46,48.83,56.19,48.5,47.35,45.85,50.04,62.96,63.95,84.55,124.21,166.51,176.29,181.24,278.89,256.97,305.16,310.23,295.55,329.81,269.18,334.5,303.91,233.53,353.38,509.85,1005.9,958.68,737.1,656.56,725.22,1843.219448,2019.208914,2181.968664,2402.005842,2277.691785,2013.01283,2200.087905,2356.518656,2328.799961,2584.532142,2874.45641,3152.567541,3472.364993,4723.587272,6407.111503,5079.6104,6504.82,7763,7282.79,9456.253000000001,9655.533862,8327.546,8493.696982,8679.986853,9044.992134
"          Peru",162.436,154.512,193.585,252.516,238.738,221.97,247.623,270.86,311.435,330.006,290.429,314.203,432.98,496.376,539.853,541.2380000000001,667.002,667.301,764.355,753.8390000000001,866.047,865.53,1047.86,892.92,944.444,1111.8,1503.3,1290.86,1359.57,1725.65,1940.7,3490.9,3898.3,3255,3258.9,3015.2,3147.1,2978.5,2530.6,2660.8,2701,3488,3279.809,3393.144,3578.088,3384.657,4424.125,5491.415,5877.644,6824.557,5756.775,6087.522,6954.91,7025.73,7713.9,9090.73,12809,17367.7,23830.1,28093.76,31018.541,26961.721,35803.080815,46375.961565,47410.607,42860.636579,39532.682899,34414.354525,37081.738042,45275.03436,48942.386534
