ECONOMY,"1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"          Australia",1649.4,1592.04,1667.68,2037.95,1729.28,2016.56,1676.53,1787.41,1905.23,2229.58,1664.21,2006.93,2049.82,2362.53,2356.14,2804.59,3053.12,3005.3,3170.94,3478.05,3526.21,4220.27,4769.52,5212.5,6461.22,9559.1,11015.9,11948.4,13193.3,13367.2,14415.5,18663.4,21944.3,21477.1,21359.8,20113.1,23111.3,22603.6,22569,26621.5,33232.7,37125.3,39752.4,41853.6,42824.1,42723.4,47528.3,53111.3,60300.5,62909.8,55892.9,56079.5,63870.4,63387,65033,70377,86564.508,106097.168,123437.404,141358.364,187256.679,154331.058,212634.216,271733,256675,252981,239974.825539,187741.892272,192488.50263,231071.693225,256879.569028
"          Austria",198.004,285.98,325.565,451.119,505.525,540.141,609.654,698.808,849.077,978.538,917.846,967.731,1120.35,1202.38,1263.5,1325.96,1446.19,1600,1683.58,1808.81,1988.73,2412.42,2856.62,3168.18,3883.38,5282.84,7161.1,7519.39,8506.469999999999,9807.940000000001,12175,15480.5,17489,15840.8,15641.5,15428.3,15739.3,17238.7,22521.9,27170.8,31057.6,32491.9,41134.6,41111,44537,40685,45002,57739.534,58137.8,59789.752,64019.2,66122.856921,67543.27594599999,70751.09299999999,78672.976,97146.129,118375.557,125182.144,136751.328,163620.421,181288.995,136988.529,152559.59113,177427.59481,166611.065,175146.74427,178223.14577,152728.11634,152090.08424,168026.4613,184721.8142
"          Azerbaijan","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",1571.3,993.2000000000001,655,635,630,780,605,929,1745,2314,2167.4,2591.718,3615.4,7648.962,13014.633,21269.317,30586.343,21097,26476.026,34494.9,32634.038,31781.146,28259.658,16592.3,13107.5,15475.6,21500
"          Bahamas",2,2,3,3,3,4,4,3.3,3.3,3.8,4.8,6,6,8,9,10,16,18.62,22.54,31.36,50.96,52.92,89.84699999999999,267,343,530,1444,2508,2992,3261,3058,3786,5009.44,6189.21,4534.37,3970.32,3392.66,2728.43,2701.6,2721.71,2152.77,2487.38,238.02,225.08,192.35,162.31,167.03,175.92,180.02,181.39,300.3,462.3,575.9,423,446,425,477,549,694.2000000000001,801.9,955.8,710.7000000000001,702.4,833.5,984,954.9,833.9,520.5,481.4,570.5,630
"          Bahrain",133,135,137,166,179,193,201,193,190,199,210,179.4,190,198,211.5,205.7,175.8,164.6,187.32,210.84,211.05,225.96,217.77,268.536,347.471,480.515,1271.72,1107.46,1516.22,1845.32,1892.87,2491.56,3606.36,4347.34,3789.36,3119.41,3203.99,2896.81,2199.47,2429.52,2411.44,2831.12,3760.64,3510.88,3464.36,3722.87,3622.07,4112.77,4700.27,4383.51,3270.21,4362.77,6194.41,5577,5794,6631.649,7557.966,10242.004,12200,13634,17316,11873.65,14971.251,19650.233,19768.085,21930,20130,16540.425532,12784.574468,15376.06383,19875.212766
"          Bangladesh","..","..","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",256.757,352.816,343.132,322.744,399.522,475.687,548.465,658.682,758.509,790.633,769.436,724.497,931.434,998.777,879.923,1067.09,1290.98,1304.87,1671.34,1688.84,2097.84,2277.94,2660.74,3501,4249,4832,5121,5497,6389,6080,6149,6990,8305,9297,11802.24,12453.2,15369.6,15082.82,19194.4,24439.2,25127.07,29113.5,30405.19,32378.64,34894.33,35850.87,39252.02
"          Barbados",12.28,17.327,16.125,20.687,23.304,23.996,23.59,22.661,21.119,28.583,23.379,27.261,23.865,25.231,29.329,40.668,35.173,37.491,40.81,41.496,40.116,37.128,39.573,40.552,44.489,53.505,86.03400000000001,107.317,86.253,96.502,130.584,151.967,227.692,195.52,258.752,323.007,393.686,356.723,278.345,161.233,177.097,187.846,215.08,207.372,190.138,187.008,181.518,238.881,280.621,282.944,251.552,263.8,272.35,259,241.5,249.75,278.25,359.45,509.733,523.823,487.795,378.522,428.983,475.14,565.042,462.753,474.407,482.921,516.835,485.392,445
"          Belarus","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",3558.7,1970.1,2510,4803.2,5651.5,7301.2,7069.7,5908.9,7326.4,7451,8020.9,9945.6,13773.7,15979,19734,24275.3,32570.8,21304.2,25283.5,41418.7,46059.9,37232.3,36126.5,26660.4,23537.3,29240,33716
"          Belgium",1690,1759,1652,2654,2454,2268,2314,2782,3172,3186,3054,3306,3792,3930,4332,4840,5600,6394,6832,7082,8172,10090,11600,12726,16152,22455,28334,28804,32889,37538,44947,56700,64540,55688,52356,51939,51893,53739,68818,83098,92135,100012,117703,118199,123132,125025.795,141538.488,178280.949,177088.88,174537.99,181731.2,179319.78165,187906.08838,190348.684,216127.439,255616.81,306866.448,334400.135,366744.6,430951.92,471840.253,370124.97,407692.34302,475671.75243,445939.176,468627.65786,472191.72905,396841.13673,398217.53349,430554.07523,466724.44517
"          Belize",6,5,3.32,4.36,4.33,5.25,5.1,5.73,6.98,6.26,6.362,6.694,7.872,8.680999999999999,8.667,13,13.435,12.224,13.467,14.133,15.116,16.848,18.8,19.278,25.53,32.27,44.924,66.59,42.253,62.082,79.782,86.731,110.648,119.007,91.014,77.729,93.19499999999999,90.12900000000001,92.625,102.8325,116.252,124.548,129.049,119.637,141.1195,122.5819925,151.0415,161.6805,167.623,176.47,172.1335,198.162,195.7915,168.65205548,274.75270179,302.80025102,304.98699501,319.111395,419.339181,416.350935,469.145383,380.979824,478.20947,603.7000000000001,627.25,608.798095,588.880808,537.912,442.8,457.115,415
